d_4_12,d_16_20,C
0.0436195558243426,0.27849222940798574,r
0.06372401897550906,0.2911208015816275,r
0.06920558604736417,0.29318345096670057,r
0.04802299245157621,0.28270618842489526,r
0.052847904673727124,0.280594623147995,r
0.04022903453172618,0.28092237249753343,r
0.04482427787086715,0.27933503736277854,r
0.03740463975941624,0.281381222667594,r
0.05469219732647777,0.2770210757050321,r
0.0503833984210052,0.2801731818145125,r
0.0514750623439734,0.27875396418177517,r
0.04258229646412908,0.28040088256750684,r
0.045512699102002854,0.2787714821491303,r
0.04494361826864607,0.2773118795305184,r
0.04822634836594418,0.2773351171345029,r
0.0456799306434011,0.27993686085861286,r
0.04439907770633719,0.2805393881195618,r
0.04412929577220274,0.2843854264543272,r
0.21615301780920446,0.036533752163002545,l
0.2165344575316346,0.03926403399582364,l
0.21417293301820728,0.04040027471097757,l
0.21080347210202505,0.04282887834373858,l
0.20776383090928957,0.04613099665448585,l
0.2080518483379993,0.047775187221133615,l
0.20691941955657056,0.04495967909470205,l
0.2075423851170861,0.046725993750891676,l
0.20857864054111527,0.04660034976465304,l
0.210146734188696,0.04743171105897475,l
0.21247659103236122,0.04773312085377944,l
0.21461170049778094,0.04585337081267182,l
0.21757640801981748,0.06217357661016942,l
0.21749335058463024,0.057498775749587554,l
0.21389933334768793,0.05299986675218117,l
0.2145800388245379,0.05362838198918865,l
0.21161434851552918,0.05037680229961156,l
0.21252993166850823,0.04998587510907453,l
0.21352888884943172,0.053018927651552424,l
0.2159494585315549,0.04836267789353076,l
0.21605907791218165,0.04689779389057297,l
0.21156609876704274,0.0457851004078265,l
0.2148028965910703,0.042547831469963354,l
0.20501185159016477,0.04423801950889597,l
0.20471006909090025,0.043683498744563565,l
0.19713152143970833,0.04625822309440151,l
0.19991476690987844,0.04552596532481077,l
0.19984046701227928,0.04629021658244644,l
0.19680742469576798,0.04513605972448145,l
0.19530844240317283,0.04629792434769131,l
0.19333658345034224,0.04528273793903196,l
0.19345911803806035,0.0456635661801737,l
