d_4_12,d_16_20,C
0.0368260517667862,0.0370507223810972,z
0.0320334119366942,0.0364511659827006,z
0.031337866530849,0.0361946711698618,z
0.0348872175209557,0.0354283035599758,z
0.0356804431461556,0.0363131258708457,z
0.0333213591283442,0.0377596910618373,z
0.034128104727777,0.0364698918615475,z
0.0351658767207208,0.0363575889412202,z
0.0328510112163015,0.0350746775277482,z
0.0362756768057318,0.0365257339425591,z
0.0346454089778818,0.0369257164264164,z
0.04009654692118,0.0370396201059698,z
0.0374037094029903,0.0400175899749348,z
0.05198573016048,0.0351581903923039,z
0.0544915315582099,0.0359380723398928,z
0.0560461203376451,0.0403286307336759,z
0.031462479420064,0.0420016018572882,z
0.0446293629870184,0.0374611570171291,z
0.0478731433604633,0.0362026344709092,z
0.0363329574625495,0.0400873831450474,z
0.032095935198275,0.038900072624006,z
0.0347046041049971,0.0376762864910572,z
0.0362136239431867,0.0418261104780973,z
0.0319506270506087,0.0403368658004456,z
0.0425619644728609,0.0398835534932373,z
0.0375207759907424,0.0406653958774701,z
0.049425505416385,0.0368008815955982,z
0.0638085165561822,0.0349681159563747,z
0.071043600695957,0.0323199760667506,z
0.0671172742014524,0.0325207872913713,z
0.0410219085409263,0.0400052585770594,z
0.0367195720267816,0.0366092439252436,z
0.0349876143689446,0.0368641789277058,z
0.0340652921992859,0.0372211855943411,z
0.0368289302735926,0.0355051909238901,z
0.0364680913372749,0.0337074443424127,z
0.0369746698912368,0.0347443760259291,z
0.0473408840081261,0.0350820145007152,z
0.0509441203560545,0.0334524275232843,z
0.0565240312434941,0.0368652825687915,z
0.0569083200759801,0.0366158891228947,z
0.0622386195563838,0.0355479692023059,z
0.0603323478697684,0.0394996712239173,z
0.0727655395721694,0.0290411065254479,z
0.0750672239617444,0.025596102270892,z
0.072683696880784,0.0322341518873684,z
0.0790499416947244,0.0311292838489042,z
0.0684507858299517,0.0340773540446592,z
0.0556198894586141,0.0323773962045676,z
0.0535917850910923,0.0367464370590623,z
0.0445844023227148,0.0368392276971884,z
0.0358796558647641,0.0379317896395683,z
0.0418028229208033,0.0402719566870006,z
0.0451795436811985,0.044884245406594,z
0.0520468284010338,0.0418188546641003,z
0.0505797787573614,0.0344370275937929,z
0.0467999093023393,0.0347019864604234,z
0.0467043537584227,0.0308550586731777,z
0.0464621347343208,0.0327761545003858,z
0.0514781255932754,0.0302457203494634,z
0.0522518189893964,0.030374758306966,z
0.0499009836668676,0.0293700592291972,z
0.0461383861727887,0.031554885181275,z
0.0540129898615526,0.0235034554007531,z
0.045972318997909,0.0277681171943401,z
0.0515940091298397,0.0281062495464543,z
0.0508598536975408,0.0284816981948146,z
0.0487938695910711,0.0277821381118636,z
0.047179503673084,0.0332469923097452,z
0.0504682719941144,0.0318153439512828,z
0.0308095133869435,0.0339798633199956,z
0.0603905806949322,0.0254532328019584,z
0.0461372827953559,0.0338181087656807,z
0.0449607372521878,0.0298163032597187,z
0.0494571766624915,0.0310762517555245,z
0.0366059500678132,0.0317914575145385,z
0.0449010581232165,0.0270022774247354,z
0.0323929080614009,0.0298687388059823,z
0.03426887847088,0.0310782927619779,z
0.0395961115063274,0.0293849023328077,z
0.044281293276489,0.0267682206171465,z
0.0417681911133093,0.0300866461334391,z
0.0415613446950503,0.0311003791264824,z
0.0361773278809556,0.0294962936872893,z
0.0468172030524445,0.0238801482610731,z
0.0326923909826199,0.0254864715206028,z
0.0385860689481511,0.0299044327366845,z
0.0399553829362641,0.0301628001891269,z
0.0384693035838534,0.0266869106952562,z
0.0347732507828766,0.0285600781221359,z
0.0379948356813347,0.0235812179537014,z
0.0452598755718029,0.0250995343253329,z
0.0463929495199792,0.0219507034840947,z
0.0472766644778018,0.022199589478772,z
0.0520929624659128,0.0189377863714626,z
0.052508403837458,0.0184472489085014,z
0.0418683478236932,0.0212595649769603,z
0.051707953815963,0.0205986611317175,z
0.0488967924711727,0.0232822292154114,z
0.0458546519422136,0.023889340491167,z
0.0466528472263831,0.0258314355529205,z
0.0440919178142848,0.026014060923493,z
0.0453758256508847,0.0271202527183161,z
0.0426646322801119,0.0252182877524687,z
0.0439723684085168,0.0271088687244365,z
0.0413312519172666,0.0256051695651165,z
0.0407331793420393,0.0279204232942697,z
